iter	Passed	Remaining
1064	118853	15065
1065	118954	14952
1066	119051	14839
1067	119145	14725
1068	119249	14613
1069	119362	14502
1070	119480	14391
1071	119610	14281
1072	119740	14172
1073	119857	14061
1074	119992	13952
1075	120151	13846
1076	120246	13732
1077	120347	13620
1078	120448	13507
1079	120569	13396
1080	120662	13282
1081	120760	13169
1082	120855	13056
1083	120951	12943
1084	121050	12830
1085	121139	12716
1086	121237	12603
1087	121380	12495
1088	121483	12382
1089	121576	12269
1090	121697	12158
1091	121797	12045
1092	121936	11937
1093	122042	11824
1094	122133	11711
1095	122249	11600
1096	122381	11490
1097	122496	11379
1098	122596	11266
1099	122693	11153
1100	122800	11041
1101	122914	10930
1102	123026	10819
1103	123125	10706
1104	123221	10593
1105	123315	10480
1106	123421	10368
1107	123523	10256
1108	123635	10144
1109	123743	10033
1110	123857	9921
1111	124029	9815
1112	124182	9707
1113	124278	9594
1114	124378	9481
1115	124478	9369
1116	124575	9256
1117	124690	9145
1118	124811	9034
1119	124922	8923
1120	125021	8810
1121	125147	8700
1122	125247	8587
1123	125350	8475
1124	125454	8363
1125	125542	8250
1126	125643	8138
1127	125735	8025
1128	125835	7913
1129	125966	7803
1130	126103	7693
1131	126248	7583
1132	126370	7472
1133	126470	7360
1134	126561	7247
1135	126661	7135
1136	126756	7023
1137	126845	6910
1138	126953	6799
1139	127064	6687
1140	127168	6575
1141	127280	6464
1142	127430	6354
1143	127522	6242
1144	127653	6131
1145	127760	6020
1146	127855	5907
1147	127954	5795
1148	128049	5683
1149	128145	5571
1150	128257	5460
1151	128359	5348
1152	128464	5236
1153	128592	5125
1154	128691	5013
1155	128789	4902
1156	128895	4790
1157	128995	4678
1158	129112	4567
1159	129240	4456
1160	129398	4346
1161	129521	4235
1162	129654	4124
1163	129816	4014
1164	129934	3903
1165	130065	3792
1166	130186	3681
1167	130325	3570
1168	130473	3459
1169	130617	3349
1170	130771	3238
1171	130915	3127
1172	131102	3017
1173	131227	2906
1174	131348	2794
1175	131493	2683
1176	131623	2572
1177	131728	2460
1178	131839	2348
1179	131970	2236
1180	132108	2125
1181	132216	2013
1182	132320	1901
1183	132424	1789
1184	132576	1678
1185	132702	1566
1186	132812	1454
1187	132907	1342
1188	133011	1230
1189	133109	1118
1190	133202	1006
1191	133317	894
1192	133415	782
1193	133509	670
1194	133611	559
1195	133702	447
1196	133797	335
1197	133906	223
1198	134027	111
1199	134135	0
